filename,english_name,country
XC477200.mp3,Blyth's Reed Warbler,Poland
XC373684.mp3,Blyth's Reed Warbler,Poland
XC253996.mp3,Blyth's Reed Warbler,Poland
XC253989.mp3,Blyth's Reed Warbler,Poland
XC252310.mp3,Blyth's Reed Warbler,Denmark
XC251885.mp3,Blyth's Reed Warbler,Poland
XC248908.mp3,Blyth's Reed Warbler,Poland
XC247627.mp3,Blyth's Reed Warbler,Finland
XC247337.mp3,Blyth's Reed Warbler,Finland
XC192132.mp3,Blyth's Reed Warbler,Norway
XC184501.mp3,Blyth's Reed Warbler,Norway
XC183650.mp3,Blyth's Reed Warbler,Norway
XC183638.mp3,Blyth's Reed Warbler,Norway
XC183626.mp3,Blyth's Reed Warbler,Norway
XC182140.mp3,Blyth's Reed Warbler,Estonia
XC181772.mp3,Blyth's Reed Warbler,Poland
XC181527.mp3,Blyth's Reed Warbler,Poland
XC181275.mp3,Blyth's Reed Warbler,Poland
XC181093.mp3,Blyth's Reed Warbler,Poland
XC141657.mp3,Blyth's Reed Warbler,Poland
XC141039.mp3,Blyth's Reed Warbler,Poland
XC141038.mp3,Blyth's Reed Warbler,Poland
XC140598.mp3,Blyth's Reed Warbler,Poland
XC481775.mp3,Blyth's Reed Warbler,Germany
XC134921.mp3,Blyth's Reed Warbler,Russian Federation
XC134922.mp3,Blyth's Reed Warbler,Russian Federation
XC383094.mp3,Blyth's Reed Warbler,Latvia
XC401937.mp3,Blyth's Reed Warbler,Norway
XC183647.mp3,Blyth's Reed Warbler,Norway
XC419064.mp3,Blyth's Reed Warbler,Poland
XC509455.mp3,Boreal Owl,Poland
XC509548.mp3,Boreal Owl,Poland
XC509547.mp3,Boreal Owl,Poland
XC509464.mp3,Boreal Owl,Poland
XC509454.mp3,Boreal Owl,Poland
XC508263.mp3,Boreal Owl,Poland
XC509452.mp3,Boreal Owl,Poland
XC508274.mp3,Boreal Owl,Poland
XC508273.mp3,Boreal Owl,Poland
XC508271.mp3,Boreal Owl,Poland
XC509550.mp3,Boreal Owl,Poland
XC509453.mp3,Boreal Owl,Poland
XC512041.mp3,Boreal Owl,Poland
XC528749.mp3,Boreal Owl,Switzerland
XC512069.mp3,Boreal Owl,Poland
XC512175.mp3,Boreal Owl,Poland
XC512176.mp3,Boreal Owl,Poland
XC512178.mp3,Boreal Owl,Poland
XC512180.mp3,Boreal Owl,Poland
XC512182.mp3,Boreal Owl,Poland
XC512406.mp3,Boreal Owl,Poland
XC512536.mp3,Boreal Owl,Poland
XC512538.mp3,Boreal Owl,Poland
XC512541.mp3,Boreal Owl,Poland
XC513156.mp3,Boreal Owl,Poland
XC508108.mp3,Boreal Owl,Poland
XC512068.mp3,Boreal Owl,Poland
XC508097.mp3,Boreal Owl,Poland
XC467736.mp3,Boreal Owl,Poland
XC508094.mp3,Boreal Owl,Poland
XC478738.mp3,Common Blackbird,Poland
XC461061.mp3,Common Blackbird,Poland
XC465113.mp3,Common Blackbird,United Kingdom
XC465284.mp3,Common Blackbird,Poland
XC469729.mp3,Common Blackbird,Norway
XC469949.mp3,Common Blackbird,France
XC472416.mp3,Common Blackbird,Romania
XC475026.mp3,Common Blackbird,United Kingdom
XC476942.mp3,Common Blackbird,Ukraine
XC482443.mp3,Common Blackbird,Georgia
XC531070.mp3,Common Blackbird,Germany
XC484295.mp3,Common Blackbird,Netherlands
XC510785.mp3,Common Blackbird,Netherlands
XC520115.mp3,Common Blackbird,Sweden
XC530890.mp3,Common Blackbird,Italy
XC530895.mp3,Common Blackbird,Italy
XC458093.mp3,Common Blackbird,Netherlands
XC531080.mp3,Common Blackbird,Germany
XC531092.mp3,Common Blackbird,Germany
XC532200.mp3,Common Blackbird,Netherlands
XC483986.mp3,Common Blackbird,United Kingdom
XC458092.mp3,Common Blackbird,Netherlands
XC116939.mp3,Common Blackbird,Poland
XC413881.mp3,Common Blackbird,Ukraine
XC323845.mp3,Common Blackbird,Ukraine
XC323844.mp3,Common Blackbird,Ukraine
XC321307.mp3,Common Blackbird,Netherlands
XC318262.mp3,Common Blackbird,United Kingdom
XC315259.mp3,Common Blackbird,France
XC314165.mp3,Common Blackbird,Poland
XC416998.mp3,Common Chaffinch,Poland
XC409984.mp3,Common Chaffinch,Ukraine
XC409983.mp3,Common Chaffinch,Ukraine
XC409376.mp3,Common Chaffinch,Ukraine
